index,data,quantidade,LAG1,LAG2,day_of_week,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,mes,mes_1,mes_2,mes_3,mes_4,mes_5,mes_6,mes_7,mes_8,mes_9,mes_10,mes_11,mes_12,trimestre,feriado
0,2022-01-03,1500,2134.670873786408,2134.9083845904825,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
1,2022-01-03,15,1500.0,2134.9083845904825,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
2,2022-01-03,18,15.0,1500.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
3,2022-01-03,450,18.0,15.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
4,2022-01-03,3411,450.0,18.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
5,2022-01-03,2511,3411.0,450.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
6,2022-01-04,600,1482.0,378.0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
7,2022-01-04,3702,600.0,1482.0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
8,2022-01-04,378,2511.0,3411.0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
9,2022-01-04,1482,378.0,2511.0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
10,2022-01-05,2700,3702.0,600.0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
11,2022-01-05,90,2700.0,3702.0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
12,2022-01-05,150,90.0,2700.0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
13,2022-01-05,900,150.0,90.0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
14,2022-01-05,150,900.0,150.0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2022Q1,0
